Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per recording [m],Immobile time [%]
240220_top_104_V1_Habituation_Urinright,21.086419753086417,5.73719401631913,-0.5782716049382716,35.07853403141361,4.329102447869447,-0.29842931937172773,0.11837855430025385,69.53183719788721,39.925203989120575
240220_top_105_V1_Habituation_Urinright,60.40485829959514,3.498980054397099,0.20809716599190284,44.687842278203725,2.5866953762466003,-0.10624315443592552,0.2093299488846015,98.81795535863681,23.047937443336355
240220_top_117_V1_Habituation_Urinright,33.702337023370234,6.910131459655484,-0.32595325953259535,37.55120619025944,6.224501359927471,-0.2489758761948111,0.16358377394098006,83.22879308876436,30.47087488667271
240220_top_1_V1_Habituation_Urinright,57.394172622319964,5.153558476881233,0.1478834524463991,54.91029272898962,6.0006799637352675,0.09820585457979225,0.1539194576480936,74.62270189119438,30.71736174070716
240220_top_2_V1_Habituation_Urinright,57.24003887269193,5.830689029918404,0.14480077745383868,47.4827768945416,5.346214868540344,-0.050344462109167994,0.1405558138831578,71.2735332530131,33.80553037171351
240220_top_95_V1_Habituation_Urinright,36.596289187460016,4.4282638259292835,-0.26807421625079975,52.65822784810127,2.238213961922031,0.053164556962025315,0.1508061273577953,75.18350774045544,30.309383499546687
240222_top_104_V1.2_Habituation_Urinleft,72.14953271028037,6.06300997280145,0.44299065420560746,58.22339489885664,3.221328195829556,0.1644678979771328,0.1572432751581088,82.43744869417607,30.856187669990938
240222_top_105_V1.2_Habituation_Urinleft,50.138888888888886,2.0398912058023573,0.002777777777777778,14.695340501792115,2.3713735267452405,-0.7060931899641577,0.2288024577842948,77.2144936572329,15.180190389845874
240222_top_117_V1.2_Habituation_Urinleft,53.49587665830047,7.901745240253853,0.06991753316600932,49.451219512195124,4.646418857660925,-0.01097560975609756,0.1766938015568124,88.09910888308441,28.487647325475972
240222_top_1_V1.2_Habituation_Urinleft,58.63746958637469,5.822189483227561,0.17274939172749393,49.577647823261856,4.360267452402539,-0.008447043534762833,0.1896035985672634,88.16363846760404,25.75362647325476
240222_top_2_V1.2_Habituation_Urinleft,50.6979695431472,4.465095194922938,0.013959390862944163,64.14141414141415,2.243880326382593,0.2828282828282828,0.1630857042665509,77.55001430041531,30.861854034451497
240222_top_95_V1.2_Habituation_Urinleft,23.112012164216928,5.589868540344515,-0.5377597567156615,29.130434782608695,1.303263825929284,-0.41739130434782606,0.13624108278084934,68.78921167765178,33.55337715321849
